Date,Time,Temperature Inside,Temperature Outside,Side Room - Live,Side Room - I killed,Main Room - Live,Main Room  - I killed
28-Oct,10:00 AM,50,44,0,0,2,2
29-Oct,8:00 AM,50,44,0,0,2,2
10/8/2020,8:00 AM,56,36,0,0,2,1
10/30/2020,7:00 AM,63,49,3,2,3,3
10/7/2020,8:00 AM,64,45,3,3,8,2
29-Oct,12:00 PM,64,55,0,0,9,4
10/1/2020,10:00 AM,65,64,2,1,3,3
28-Oct,12:00 PM,65,56,1,1,10,3
10/2/2020,8:00 AM,68,62,0,0,2,0
10/2/2020,7:00 PM,68,78,0,0,0,0
10/3/2020,9:00 AM,68,69,2,2,5,2
10/1/2020,12:00 PM,70,74,2,1,50,1
10/2/2020,10:00 AM,70,72,1,1,4,0
10/2/2020,12:00 PM,70,73,5,3,25,1
28-Oct,5:00 PM,71,49,1,1,10,2
29-Oct,5:00 PM,71,48,1,0,9,4
10/2/2020,1:00 PM,72,74,3,1,30,0
10/2/2020,5:00 PM,72,78,3,2,4,0
10/3/2020,12:00 PM,72,73,4,3,9,0
10/4/20200,2:00 PM,72,65,2,1,13,0
10/8/2020,10:00 AM,72,43,4,2,7,2
28-Oct,2:00 PM,72,60,2,1,14,2
29-Oct,1:00 PM,72,63,3,2,11,3
10/30/2020,10:00 PM,72,40,0,0,3,2
10/1/2020,8:00 PM,73,59,1,1,3,0
10/3/2020,2:00 PM,74,76,3,3,16,2
10/16/2020,12:00 PM,74,62,7,6,15,1
10/16/2020,10:00 AM,74,60,3,3,14,0
10/30/2020,5:00 PM,74,45,1,0,3,1
10/1/2020,2:00 PM,75,74,4,3,55,2
10/8/2020,2:00 PM,75,50,5,4,15,3
10/8/2020,4:00 PM,75,45,2,2,4,1
10/16/2020,10:00 PM,75,55,1,1,2,2
28-Oct,10:00 PM,75,42,0,0,4,1
29-Oct,10:00 PM,75,43,0,0,5,2
10/30/2020,8:00 AM,75,50,2,2,3,2
10/30/2020,1:00 PM,75,52,2,2,15,1
9/30/2020,8:00 PM,76,66,1,1,0,0
10/1/2020,5:00 PM,76,73,3,1,35,2
9/30/2020,4:00 PM,78,76,1,1,11,2
9/30/2020,5:00 PM,78,76,4,4,2,0
10/2/2020,2:00 PM,78,77,2,2,25,7
10/2/2020,4:00 PM,79,78,1,1,15,2
28-Oct,7:00 PM,80,48,0,0,5,1
10/30/2020,12:00 PM,80,51,3,1,10,1
10/15/2020,1:00 PM,81,65,8,8,19,0
10/15/2020,3:00 PM,82,65,9,9,21,3
